N
15
G
15
X
15
D
50,50
C
10
S
47,15
17,43
18,7
26,43
20,35
32,23
24,48
5,14
23,30
22,38
24,44
24,25
25,12
5,4
45,12
P
44,36
44,47
7,20
50,33
45,25
1,32
12,27
30,22
13,22
1,31
48,5
2,45
13,1
41,8
44,5
F
18,30
30,34
33,22
7,38
13,33
43,5
49,2
42,42
3,28
48,17
41,31
40,40
3,15
49,38
29,15
M
1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,50,1,50,50,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1
1,1,50,1,1,1,50,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,50,1
1,1,1,50,1,1,1,50,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,50,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,50,1,50,50,1,50,1,1,1,1,1,1,1,1,1,1
1,1,50,1,1,1,1,1,50,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,50,1,1,1,1,1,50,50,1,1,1,1,1,1,1
1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,50,1,1,1,50,1,1,1,1,1,1,1,50,1,1,1,1,1,1
1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,50,1,1,50,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,50,1,1,1,1,1,50,1,1,1,50,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,50,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,50,1,50,1,1,50,1,1,1,1,1,1,50,1,50,1,1,1,50,50,1,1,1
1,1,1,1,1,50,50,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,50,50,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50
1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,50,1
1,1,1,1,50,50,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1
1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,50,1,1,1,1,1,1,1
